kP,kI,kD,,,,
1.00E-05,1.00E-05,0.0001,,,,
Target,Altitude,Time,P,I,D,Thrott
1000,907.846,31.78,95.9729,1520.21,3.02945,0.351151
1000,912.621,31.88,91.1996,1449.16,2.86972,0.350186
1000,917.399,31.98,86.4235,1377.59,2.7109,0.349217
1000,923.137,32.08,81.6446,1305.5,2.55299,0.348243
1000,927.92,32.18,76.8633,1232.89,2.39599,0.347264
1000,931.748,32.28,71.123,1144.37,2.21016,0.346114
1000,936.535,32.38,67.2944,1086.13,2.08471,0.345293
1000,941.324,32.48,62.5072,1011.99,1.93043,0.344301
1000,946.113,32.58,56.7606,921.792,1.74756,0.343136
1000,951.862,32.68,52.9285,862.206,1.62457,0.342303
1000,955.696,32.78,48.1375,786.567,1.473,0.341297
1000,960.488,32.88,43.3457,710.437,1.32232,0.340287
1000,965.281,32.98,37.5949,618.06,1.1434,0.339103
1000,970.074,33.08,33.7606,556.713,1.02367,0.338255
1000,974.866,33.18,28.9679,479.129,0.875691,0.337232
1000,979.658,33.28,24.1753,401.069,0.728612,0.336206
1000,984.45,33.38,19.3832,322.537,0.582429,0.335175
1000,990.199,33.48,14.5919,243.538,0.437144,0.33414
1000,994.03,33.58,9.80141,164.076,0.292754,0.333101
1000,998.818,33.68,5.01203,84.152,0.149256,0.332058
1000,1003.61,33.78,0.224052,3.77303,0.00665237,0.331012
1000,1009.35,33.88,-4.56223,-77.056,-0.135057,0.329961
1000,1013.17,33.98,-9.34656,-158.331,-0.275872,0.328907
1000,1017.95,34.08,-14.1286,-240.046,-0.415793,0.327848
1000,1022.73,34.18,-18.9084,-322.199,-0.554824,0.326787
1000,1027.51,34.28,-23.6855,-404.785,-0.692964,0.325721
1000,1032.28,34.38,-28.4598,-487.801,-0.830215,0.324652
1000,1037.05,34.48,-33.2308,-571.238,-0.966575,0.323579
1000,1041.81,34.58,-37.9985,-655.094,-1.10204,0.322503
1000,1046.57,34.68,-42.7624,-739.362,-1.23662,0.321424
1000,1052.28,34.78,-47.5224,-824.038,-1.37031,0.320341
1000,1056.08,34.88,-53.2289,-925.65,-1.53044,0.319077
1000,1060.83,34.98,-57.0296,-994.597,-1.63502,0.318165
1000,1066.52,35.08,-61.7763,-1080.47,-1.76605,0.317072
1000,1070.31,35.18,-66.5178,-1166.72,-1.89618,0.315976
1000,1075.04,35.28,-71.2542,-1253.36,-2.02542,0.314877
1000,1079.77,35.38,-75.985,-1340.38,-2.15377,0.313775
1000,1084.49,35.48,-80.71,-1427.76,-2.28123,0.312671
1000,1089.2,35.58,-85.4288,-1515.51,-2.4078,0.311563
1000,1094.85,35.68,-90.1413,-1603.61,-2.53348,0.310452
1000,1098.61,35.78,-95.7876,-1708.85,-2.68463,0.309159
1000,1103.3,35.88,-99.5463,-1780.88,-2.78218,0.308222
1000,1107.99,35.98,-104.238,-1870.03,-2.90519,0.307104
1000,1112.66,36.08,-108.923,-1959.52,-3.02732,0.305982
1000,1117.34,36.18,-114.534,-2066.19,-3.17444,0.304678
1000,1122.93,36.28,-118.268,-2139.48,-3.26889,0.303732
1000,1127.58,36.38,-122.929,-2229.93,-3.38834,0.302603
1000,1132.22,36.48,-127.581,-2320.7,-3.5069,0.301472
1000,1135.93,36.58,-132.224,-2411.77,-3.62456,0.300339
