Target,Altitude,Time
700,1307.31,721.18
700,1307.04,721.24
700,1306.73,721.3
700,1306.39,721.36
700,1306.02,721.42
700,1305.61,721.48
700,1305.01,721.56
700,1304.52,721.62
700,1303.99,721.68
700,1303.43,721.74
700,1302.84,721.8
700,1302.21,721.86
700,1301.54,721.92
700,1300.84,721.98
700,1300.11,722.04
700,1299.34,722.1
700,1298.53,722.16
700,1297.69,722.22
700,1296.82,722.28
700,1295.91,722.34
700,1294.96,722.4
700,1293.98,722.46
700,1292.97,722.52
700,1291.92,722.58
700,1290.84,722.64
700,1289.72,722.7
700,1288.57,722.76
700,1287.38,722.82
700,1285.74,722.9
700,1284.47,722.96
700,1283.17,723.02
700,1281.83,723.08
700,1280.46,723.14
700,1279.05,723.2
700,1277.61,723.26
700,1276.13,723.32
700,1274.62,723.38
700,1273.07,723.44
700,1271.49,723.5
700,1269.88,723.56
700,1268.23,723.62
700,1266.54,723.68
700,1264.83,723.74
700,1263.07,723.8
700,1261.28,723.86
700,1259.46,723.92
700,1257.61,723.98
700,1255.72,724.04
700,1253.79,724.1
700,1251.83,724.16
700,1249.84,724.22
700,1247.81,724.28
700,1245.75,724.34
700,1243.65,724.4
700,1241.52,724.46
700,1239.35,724.52
700,1235.67,724.62
700,1232.65,724.7
700,1230.35,724.78
700,1227.23,724.84
700,1224.04,724.92
700,1221.62,724.98
700,1219.16,725.04
700,1216.66,725.1
700,1214.13,725.16
700,1211.57,725.22
700,1208.97,725.28
700,1205.46,725.36
700,1202.78,725.42
700,1200.07,725.48
700,1197.33,725.54
700,1194.55,725.6
700,1191.74,725.66
700,1188.9,725.72
700,1186.02,725.78
700,1183.11,725.84
700,1180.16,725.9
700,1177.19,725.96
700,1174.17,726.02
700,1171.13,726.08
700,1168.05,726.14
700,1164.94,726.2
700,1161.79,726.26
700,1158.61,726.32
700,1155.4,726.38
700,1152.15,726.44
700,1148.87,726.5
700,1145.56,726.56
700,1142.22,726.62
700,1138.84,726.68
700,1134.28,726.76
700,1128.5,726.86
700,1124.99,726.92
700,1121.45,726.98
700,1117.87,727.04
700,1114.26,727.1
700,1110.62,727.16
700,1106.95,727.26
700,1100.75,727.32
700,1096.99,727.38
700,1093.19,727.44
700,1089.36,727.5
700,1085.5,727.56
700,1081.61,727.62
700,1077.69,727.68
700,1073.73,727.74
700,1069.74,727.8
700,1065.72,727.86
700,1061.66,727.92
700,1057.58,727.98
700,1052.08,728.06
700,1047.92,728.12
700,1043.72,728.18
700,1039.5,728.24
700,1035.24,728.3
700,1030.95,728.36
700,1026.63,728.42
700,1022.27,728.48
700,1017.89,728.54
700,1013.47,728.6
700,1009.02,728.66
700,1004.54,728.72
700,1000.03,728.78
700,995.482,728.84
700,990.907,728.9
700,986.299,728.96
700,981.661,729.02
700,976.991,729.08
700,972.289,729.14
700,967.557,729.2
700,962.793,729.26
700,957.998,729.32
700,953.171,729.38
700,948.314,729.44
700,943.426,729.5
700,938.506,729.56
700,933.556,729.66
700,923.562,729.74
700,918.519,729.8
700,913.446,729.86
700,908.342,729.92
700,903.207,729.98
700,898.041,730.04
700,892.845,730.1
700,887.619,730.16
700,878.84,730.26
700,873.533,730.32
700,868.195,730.38
700,862.827,730.44
