kP,kI,kD
1e-05,1e-05,0.0001
Target,Altitude,Time,P,I,D,Thrott,Thrott_G
1000,775.516,28.86,228.156,3280.89,7.93311,0.376258,0.340374
1000,780.114,28.96,223.565,3226.04,7.74654,0.375443,0.340172
1000,784.721,29.06,218.965,3170.62,7.56096,0.374622,0.33997
1000,789.335,29.16,214.357,3114.61,7.37637,0.373796,0.339768
1000,793.958,29.26,208.817,3044.55,7.16107,0.372817,0.339567
1000,798.588,29.36,205.117,3000.86,7.01014,0.372127,0.339366
1000,803.226,29.46,200.485,2943.11,6.8285,0.371284,0.339166
1000,807.872,29.56,195.845,2884.8,6.64783,0.370437,0.338965
1000,812.525,29.66,191.198,2825.91,6.46813,0.369583,0.338766
1000,817.185,29.76,186.544,2766.44,6.28941,0.368725,0.338566
1000,821.852,29.86,181.882,2706.41,6.11164,0.367861,0.338367
1000,826.525,29.96,177.214,2645.81,5.93484,0.366992,0.338169
1000,831.205,30.06,172.539,2584.64,5.75899,0.366118,0.337971
1000,835.892,30.16,167.858,2522.91,5.5841,0.365239,0.337773
1000,841.523,30.26,163.17,2460.61,5.41016,0.364354,0.337576
1000,845.282,30.36,158.477,2397.75,5.23717,0.363465,0.337379
1000,849.986,30.46,153.777,2334.34,5.06513,0.36257,0.337182
1000,854.696,30.56,149.072,2270.37,4.89403,0.36167,0.336986
1000,859.411,30.66,144.361,2205.84,4.72387,0.360765,0.336791
1000,864.131,30.76,139.645,2140.76,4.55465,0.359855,0.336595
1000,869.801,30.86,134.924,2075.14,4.38636,0.35894,0.336401
1000,873.585,30.96,130.199,2008.97,4.21901,0.35802,0.336206
1000,878.319,31.06,125.468,1942.25,4.05259,0.357095,0.336013
1000,883.058,31.16,120.733,1874.99,3.8871,0.356165,0.335819
1000,887.8,31.26,115.994,1807.19,3.72253,0.35523,0.335626
1000,892.546,31.36,111.251,1738.85,3.55889,0.354291,0.335434
1000,897.296,31.46,106.504,1669.98,3.39617,0.353346,0.335242
1000,902.05,31.56,101.753,1600.58,3.23437,0.352397,0.33505
1000,907.758,31.66,96.9992,1530.65,3.07349,0.351443,0.334859
1000,911.566,31.76,92.2422,1460.19,2.91352,0.350484,0.334669
1000,916.328,31.86,87.4821,1389.22,2.75447,0.349521,0.334479
1000,922.046,31.96,82.7193,1317.72,2.59634,0.348553,0.334289
1000,926.813,32.06,77.9541,1245.71,2.43911,0.34758,0.3341
1000,930.629,32.16,73.1866,1173.18,2.2828,0.346603,0.333911
1000,935.4,32.26,68.417,1100.15,2.12739,0.345621,0.333723
1000,940.173,32.36,63.6456,1026.6,1.9729,0.344635,0.333535
1000,944.947,32.46,58.8726,952.559,1.8193,0.343644,0.333348
1000,949.722,32.56,54.0984,878.017,1.66662,0.342649,0.333161
1000,954.498,32.66,49.3229,802.977,1.51483,0.34165,0.332975
1000,959.275,32.76,44.5467,727.447,1.36395,0.340646,0.33279
1000,964.052,32.86,39.7697,651.427,1.21397,0.339638,0.332604
1000,968.83,32.96,34.0368,559.225,1.03581,0.338456,0.33242
1000,974.562,33.06,30.2148,497.939,0.91671,0.337609,0.332236
1000,978.384,33.16,25.4375,420.482,0.769435,0.336588,0.332052
1000,983.161,33.26,20.6606,342.552,0.623057,0.335564,0.331869
1000,987.936,33.36,15.8842,264.154,0.477576,0.334535,0.331687
1000,992.711,33.46,11.1086,185.291,0.332991,0.333502,0.331505
1000,998.439,33.56,6.33419,105.971,0.189306,0.332465,0.331323
1000,1002.26,33.66,1.56113,26.1957,0.0465176,0.331425,0.331142
1000,1007.03,33.76,-3.21025,-54.0284,-0.0953727,0.33038,0.330962
1000,1011.79,33.86,-7.97992,-134.701,-0.236372,0.329332,0.330782
1000,1016.56,33.96,-12.7474,-215.814,-0.376474,0.32828,0.330603
1000,1022.28,34.06,-18.4654,-313.543,-0.54374,0.32705,0.330424
1000,1026.08,34.16,-22.2754,-379.35,-0.654005,0.326164,0.330246
1000,1030.84,34.26,-27.0352,-461.762,-0.79143,0.325101,0.330069
1000,1035.59,34.36,-31.7919,-544.596,-0.927961,0.324035,0.329891
1000,1040.35,34.46,-36.5454,-627.849,-1.0636,0.322965,0.329715
1000,1045.09,34.56,-41.2952,-711.516,-1.19835,0.321891,0.329539
1000,1050.78,34.66,-46.0411,-795.591,-1.33221,0.320814,0.329364
1000,1054.57,34.76,-50.783,-880.069,-1.46518,0.319734,0.329189
1000,1059.31,34.86,-55.5205,-964.946,-1.59725,0.31865,0.329015
1000,1064.04,34.96,-60.2532,-1050.21,-1.72844,0.317564,0.328841
1000,1068.76,35.06,-64.9811,-1135.87,-1.85873,0.316474,0.328668
1000,1073.48,35.16,-69.7039,-1221.91,-1.98813,0.315381,0.328496
1000,1078.19,35.26,-74.4211,-1308.32,-2.11664,0.314285,0.328324
1000,1082.9,35.36,-79.1327,-1395.11,-2.24426,0.313186,0.328153
1000,1087.6,35.46,-83.8383,-1482.26,-2.37099,0.312084,0.327982
1000,1092.29,35.56,-89.4769,-1586.43,-2.52332,0.3108,0.327812
1000,1096.98,35.66,-93.2308,-1657.64,-2.62179,0.309871,0.327642
1000,1101.66,35.76,-97.917,-1745.86,-2.74585,0.308761,0.327474
1000,1106.33,35.86,-102.596,-1834.42,-2.86902,0.307648,0.327305
1000,1111,35.96,-107.268,-1923.31,-2.99129,0.306533,0.327138
1000,1115.66,36.06,-111.932,-2012.54,-3.11268,0.305415,0.326971
1000,1120.31,36.16,-116.588,-2102.08,-3.23317,0.304294,0.326804
1000,1124.95,36.26,-121.236,-2191.95,-3.35277,0.303171,0.326638
1000,1129.58,36.36,-125.876,-2282.13,-3.47148,0.302046,0.326473
1000,1134.2,36.46,-130.507,-2372.61,-3.5893,0.300918,0.326309
1000,1138.82,36.56,-135.129,-2463.4,-3.70622,0.299789,0.326145
1000,1143.42,36.66,-139.741,-2554.47,-3.82224,0.298657,0.325981
1000,1148.02,36.76,-144.344,-2645.83,-3.93738,0.297523,0.325819
1000,1152.6,36.86,-148.937,-2737.47,-4.05162,0.296387,0.325656
1000,1157.18,36.96,-153.521,-2829.38,-4.16496,0.295249,0.325495
1000,1161.74,37.06,-158.093,-2921.56,-4.27742,0.29411,0.325334
1000,1166.3,37.16,-162.655,-3014,-4.38897,0.292968,0.325174
1000,1170.84,37.26,-167.206,-3106.69,-4.49963,0.291825,0.325014
1000,1175.37,37.36,-171.746,-3199.63,-4.6094,0.290681,0.324855
1000,1179.89,37.46,-176.274,-3292.81,-4.71827,0.289535,0.324697
1000,1184.39,37.56,-180.791,-3386.21,-4.82623,0.288387,0.32454
1000,1188.89,37.66,-185.295,-3479.84,-4.9333,0.287238,0.324383
1000,1194.27,37.76,-189.786,-3573.68,-5.03947,0.286088,0.324226
1000,1197.84,37.86,-194.266,-3667.73,-5.14474,0.284936,0.324071
1000,1202.3,37.96,-198.732,-3761.99,-5.24912,0.283783,0.323916
1000,1206.74,38.06,-203.185,-3856.44,-5.3526,0.28263,0.323761
1000,1211.17,38.16,-207.624,-3951.08,-5.45517,0.281475,0.323607
1000,1215.58,38.26,-212.049,-4045.9,-5.55685,0.280319,0.323454
1000,1219.98,38.36,-216.461,-4140.89,-5.65762,0.279163,0.323302
